Id,UserId,Date,OriginalDescription,ModifiedDescription,Amount,Currency,CategoryId
1,1,2024-07-31,UBER *EATS HELP.UBER.COM ;,Uber Eats Delivery,-45.60,AUD,restaurants-and-cafes
2,1,2024-08-02,WOOLWORTHS 1234 SYDNEY ;,Woolworths Groceries,-150.00,AUD,groceries
3,1,2024-08-04,MYER DEPARTMENT STORE SYDNEY ;,,-200.00,AUD,clothing-and-accessories
4,1,2024-08-06,FLIGHT CENTRE MELBOURNE ;,Flights to Melbourne,-450.00,AUD,holidays-and-travel
5,1,2024-08-07,NETFLIX.COM 800-123-4567 ;,,-15.99,AUD,tv-and-music
6,1,2024-08-10,PAYMENT RECEIVED FROM EMPLOYER ;,Salary,3000.00,AUD,direct-credit
7,1,2024-08-11,TRANSFER TO SAVINGS ACCOUNT ;,,-500.00,AUD,transfer
8,1,2024-08-12,TRANSFER FROM PARENTS ;,Gift from Parents,200.00,AUD,gifts-and-charity
9,1,2024-08-14,BUNNINGS WAREHOUSE BRISBANE ;,,-75.50,AUD,home-maintenance-and-improvements
10,1,2024-08-15,AMAZON AU MELBOURNE ;,,-120.00,AUD,technology
11,2,2024-07-30,SHELL SERVICE STATION PERTH ;,,-60.00,AUD,fuel
12,2,2024-08-01,BP AUSTRALIA PERTH ;,,-70.00,AUD,fuel
13,2,2024-08-03,APPLE.COM SYDNEY ;,,-99.99,AUD,games-and-software
14,2,2024-08-04,WOOLWORTHS 5678 PERTH ;,,-250.00,AUD,groceries
15,2,2024-08-05,CITY OF PERTH PARKING ;,,-15.00,AUD,parking
16,2,2024-08-09,PAYMENT RECEIVED FROM EMPLOYER ;,Salary,3200.00,AUD,direct-credit
17,2,2024-08-11,TRANSFER TO SAVINGS ACCOUNT ;,,-800.00,AUD,transfer
18,2,2024-08-12,TRANSFER FROM SISTER ;,Loan from Sister,500.00,AUD,gifts-and-charity
19,2,2024-08-13,REBEL SPORT BRISBANE ;,,-120.00,AUD,fitness-and-wellbeing
20,2,2024-08-15,OPTUS BILL PAYMENT ;,,-45.00,AUD,mobile-phone
21,3,2024-07-29,UBER *RIDES SYDNEY ;,Uber Rides,-23.45,AUD,transport
22,3,2024-07-31,COLES SUPERMARKET ADELAIDE ;,Groceries,-180.00,AUD,groceries
23,3,2024-08-02,JB HI-FI MELBOURNE ;,,-500.00,AUD,technology
24,3,2024-08-05,HARVEY NORMAN PERTH ;,,-320.00,AUD,homeware-and-appliances
25,3,2024-08-07,NETFLIX.COM 800-123-4567 ;,,-15.99,AUD,tv-and-music
26,3,2024-08-09,PAYMENT RECEIVED FROM EMPLOYER ;,Salary,2900.00,AUD,direct-credit
27,3,2024-08-10,TRANSFER TO MORTGAGE ACCOUNT ;,,-1000.00,AUD,transfer
