Id,UserId,Date,OriginalDescription,ModifiedDescription,Amount,Currency,CategoryId
1,1,2024-10-07,UBER *EATS HELP.UBER.COM ;,Uber Eats Delivery,-45.6,AUD,restaurants-and-cafes
2,1,2024-10-09,WOOLWORTHS 1234 SYDNEY ;,Woolworths Groceries,-150.0,AUD,none
3,1,2024-10-11,MYER DEPARTMENT STORE SYDNEY ;,,-200.0,AUD,clothing-and-accessories
4,1,2024-10-13,FLIGHT CENTRE MELBOURNE ;,Flights to Melbourne,-450.0,AUD,holidays-and-travel
5,1,2024-10-14,NETFLIX.COM 800-123-4567 ;,,-15.99,AUD,none
6,1,2024-10-17,PAYMENT RECEIVED FROM EMPLOYER ;,Salary,3000.0,AUD,none
7,1,2024-10-18,TRANSFER TO SAVINGS ACCOUNT ;,,-500.0,AUD,none
8,1,2024-10-19,TRANSFER FROM PARENTS ;,Gift from Parents,200.0,AUD,gifts-and-charity
9,1,2024-10-21,BUNNINGS WAREHOUSE BRISBANE ;,,-75.5,AUD,home-maintenance-and-improvements
10,1,2024-10-22,AMAZON AU MELBOURNE ;,,-120.0,AUD,technology
11,2,2024-10-06,SHELL SERVICE STATION PERTH ;,,-60.0,AUD,fuel
12,2,2024-10-08,BP AUSTRALIA PERTH ;,,-70.0,AUD,fuel
13,2,2024-10-10,APPLE.COM SYDNEY ;,,-99.99,AUD,games-and-software
14,2,2024-10-11,WOOLWORTHS 5678 PERTH ;,,-250.0,AUD,groceries
15,2,2024-10-12,CITY OF PERTH PARKING ;,,-15.0,AUD,parking
16,2,2024-10-16,PAYMENT RECEIVED FROM EMPLOYER ;,Salary,3200.0,AUD,direct-credit
17,2,2024-10-18,TRANSFER TO SAVINGS ACCOUNT ;,,-800.0,AUD,transfer
18,2,2024-10-19,TRANSFER FROM SISTER ;,Loan from Sister,500.0,AUD,gifts-and-charity
19,2,2024-10-20,REBEL SPORT BRISBANE ;,,-120.0,AUD,fitness-and-wellbeing
20,2,2024-10-22,OPTUS BILL PAYMENT ;,,-45.0,AUD,mobile-phone
21,3,2024-10-05,UBER *RIDES SYDNEY ;,Uber Rides,-23.45,AUD,transport
22,3,2024-10-07,COLES SUPERMARKET ADELAIDE ;,Groceries,-180.0,AUD,groceries
23,3,2024-10-09,JB HI-FI MELBOURNE ;,,-500.0,AUD,technology
24,3,2024-10-12,HARVEY NORMAN PERTH ;,,-320.0,AUD,homeware-and-appliances
25,3,2024-10-14,NETFLIX.COM 800-123-4567 ;,,-15.99,AUD,tv-and-music
26,3,2024-10-16,PAYMENT RECEIVED FROM EMPLOYER ;,Salary,2900.0,AUD,direct-credit
27,3,2024-10-17,TRANSFER TO MORTGAGE ACCOUNT ;,,-1000.0,AUD,transfer
28,3,2024-10-19,TRANSFER FROM FRIEND ;,Gift from Friend,100.0,AUD,gifts-and-charity
29,3,2024-10-20,BIG W SYDNEY ;,,-40.0,AUD,clothing-and-accessories
30,3,2024-10-21,DAN MURPHY'S BRISBANE ;,,-60.0,AUD,pubs-bars-and-alcohol
31,1,2024-10-22,WOOLWORTHS 9999 BRISBANE ;,,-60.0,AUD,groceries
32,1,2024-10-23,CITY OF SYDNEY PARKING ;,,-25.0,AUD,parking
33,1,2024-10-24,TRANSFER TO CREDIT CARD ;,,-150.0,AUD,transfer
34,1,2024-10-25,TELSTRA BILL PAYMENT ;,,-70.0,AUD,utilities
35,2,2024-10-22,WESTFIELD SHOPPING CENTRE PERTH ;,,-200.0,AUD,clothing-and-accessories
36,2,2024-10-23,PAYMENT RECEIVED FROM CLIENT ;,Freelance Work,600.0,AUD,direct-credit
37,2,2024-10-24,TRANSFER TO CREDIT CARD ;,,-250.0,AUD,transfer
38,2,2024-10-25,SUBWAY FRANCHISE ADELAIDE ;,,-15.0,AUD,restaurants-and-cafes
39,3,2024-10-24,BOQ HOME LOAN PAYMENT ;,,-1200.0,AUD,transfer
40,3,2024-10-26,TRANSFER FROM INVESTMENT ACCOUNT ;,,500.0,AUD,direct-credit
41,3,2024-10-27,TRANSFER TO SAVINGS ACCOUNT ;,,-200.0,AUD,transfer
42,3,2024-10-28,PAYMENT RECEIVED FROM CLIENT ;,Freelance Work,1500.0,AUD,direct-credit
43,1,2024-10-29,AUSSIE HOME LOANS SYDNEY ;,,-900.0,AUD,rent-and-mortgage
