Id,UserId,Date,OriginalDescription,ModifiedDescription,Amount,Currency,CategoryId
1,1,2023-08-01,UBER *EATS HELP.UBER.COM ;,Uber Eats Delivery,-45.60,AUD,restaurants-and-cafes
2,1,2023-08-02,WOOLWORTHS 1234 SYDNEY ;,Woolworths Groceries,-150.00,AUD,groceries
3,1,2023-08-03,MYER DEPARTMENT STORE SYDNEY ;,,200.00,AUD,clothing-and-accessories
4,1,2023-08-04,FLIGHT CENTRE MELBOURNE ;,Flights to Melbourne,-450.00,AUD,holidays-and-travel
5,1,2023-08-05,NETFLIX.COM 800-123-4567 ;,,15.99,AUD,tv-and-music
6,1,2023-08-06,PAYMENT RECEIVED FROM EMPLOYER ;,Salary,+3000.00,AUD,direct-credit
7,1,2023-08-07,TRANSFER TO SAVINGS ACCOUNT ;,,500.00,AUD,transfer
8,1,2023-08-08,TRANSFER FROM PARENTS ;,Gift from Parents,+200.00,AUD,gifts-and-charity
9,1,2023-08-09,BUNNINGS WAREHOUSE BRISBANE ;,,75.50,AUD,home-maintenance-and-improvements
10,1,2023-08-10,AMAZON AU MELBOURNE ;,,120.00,AUD,technology
11,2,2023-08-01,SHELL SERVICE STATION PERTH ;,,60.00,AUD,fuel
12,2,2023-08-02,BP AUSTRALIA PERTH ;,,70.00,AUD,fuel
13,2,2023-08-03,APPLE.COM SYDNEY ;,,99.99,AUD,apps-games-and-software
14,2,2023-08-04,WOOLWORTHS 5678 PERTH ;,,250.00,AUD,groceries
15,2,2023-08-05,CITY OF PERTH PARKING ;,,15.00,AUD,parking
16,2,2023-08-06,PAYMENT RECEIVED FROM EMPLOYER ;,Salary,+3200.00,AUD,direct-credit
17,2,2023-08-07,TRANSFER TO SAVINGS ACCOUNT ;,,800.00,AUD,transfer
18,2,2023-08-08,TRANSFER FROM SISTER ;,Loan from Sister,+500.00,AUD,gifts-and-charity
19,2,2023-08-09,REBEL SPORT BRISBANE ;,,120.00,AUD,fitness-and-wellbeing
20,2,2023-08-10,OPTUS BILL PAYMENT ;,,45.00,AUD,mobile-phone
21,3,2023-08-01,UBER *RIDES SYDNEY ;,Uber Rides,-23.45,AUD,transport
22,3,2023-08-02,COLES SUPERMARKET ADELAIDE ;,Groceries,-180.00,AUD,groceries
23,3,2023-08-03,JB HI-FI MELBOURNE ;,,500.00,AUD,technology
24,3,2023-08-04,HARVEY NORMAN PERTH ;,,320.00,AUD,homeware-and-appliances
25,3,2023-08-05,NETFLIX.COM 800-123-4567 ;,,15.99,AUD,tv-and-music
26,3,2023-08-06,PAYMENT RECEIVED FROM EMPLOYER ;,Salary,+2900.00,AUD,direct-credit
27,3,2023-08-07,TRANSFER TO MORTGAGE ACCOUNT ;,,1000.00,AUD,transfer
28,3,2023-08-08,TRANSFER FROM FRIEND ;,Gift from Friend,+100.00,AUD,gifts-and-charity
29,3,2023-08-09,BIG W SYDNEY ;,,40.00,AUD,clothing-and-accessories
30,3,2023-08-10,DAN MURPHY'S BRISBANE ;,,60.00,AUD,booze
31,1,2023-08-11,WOOLWORTHS 9999 BRISBANE ;,,60.00,AUD,groceries
32,1,2023-08-12,CITY OF SYDNEY PARKING ;,,25.00,AUD,parking
33,1,2023-08-13,TRANSFER TO CREDIT CARD ;,,150.00,AUD,transfer
34,1,2023-08-14,TELSTRA BILL PAYMENT ;,,70.00,AUD,utilities
35,2,2023-08-11,WESTFIELD SHOPPING CENTRE PERTH ;,,200.00,AUD,clothing-and-accessories
36,2,2023-08-12,PAYMENT RECEIVED FROM CLIENT ;,Freelance Work,+600.00,AUD,direct-credit
37,2,2023-08-13,TRANSFER TO CREDIT CARD ;,,250.00,AUD,transfer
38,2,2023-08-14,SUBWAY FRANCHISE ADELAIDE ;,,15.00,AUD,restaurants-and-cafes
39,3,2023-08-11,BOQ HOME LOAN PAYMENT ;,,1200.00,AUD,transfer
40,3,2023-08-12,TRANSFER FROM INVESTMENT ACCOUNT ;,,500.00,AUD,direct-credit
41,3,2023-08-13,TRANSFER TO SAVINGS ACCOUNT ;,,200.00,AUD,transfer
42,3,2023-08-14,PAYMENT RECEIVED FROM CLIENT ;,Freelance Work,+1500.00,AUD,direct-credit
43,1,2023-08-15,AUSSIE HOME LOANS SYDNEY ;,,900.00,AUD,rent-and-mortgage
44,1,2023-08-16,BOOST JUICE BRISBANE ;,,8.00,AUD,restaurants-and-cafes
45,2,2023-08-15,PAYMENT RECEIVED FROM CLIENT ;,Freelance Work,+1000.00,AUD,direct-credit
46,2,2023-08-16,BUNNINGS WAREHOUSE PERTH ;,,60.00,AUD,home-maintenance-and-improvements
47,3,2023-08-15,COLES SUPERMARKET MELBOURNE ;,Groceries,-120.00,AUD,groceries
48,3,2023-08-16,KOGAN.COM SYDNEY ;,,250.00,AUD,technology
49,1,2023-08-17,TRANSFER TO FRIEND ;,,150.00,AUD,transfer
50,1,2023-08-18,MELBOURNE ZOO MELBOURNE ;,Tickets,-60.00,AUD,restaurants-and-cafes
51,2,2023-08-17,TRANSFER TO FAMILY ;,,200.00,AUD,transfer
52,2,2023-08-18,TRANSFER TO SUPERANNUATION ;,,500.00,AUD,transfer
53,3,2023-08-17,TRANSFER FROM SAVINGS ;,,300.00,AUD,direct-credit
54,3,2023-08-18,MEDIBANK PRIVATE SYDNEY ;,,100.00,AUD,health-and-medical
